1943-10-02	ДА	КарФ	14 армия	10 гв., 14 сд, 72 морская сбр, 31 лыжбр	1236 пап, 275, 297 минп, 41 гв. мп, 156 зенап, 325, 487 озадн			31 оиб
1943-10-03	ДА	КарФ	19 армия	104, 122 сд, 77 морская сбр	1293 пап, 566 минп, 53 гв. мп, 186 зенап, 261 озадн	377, 429 отб		279 оиб
1943-10-04	ДА	КарФ	26 армия	31 ск (45, 205 сд, 61, 85 морские сбр), 27, 54 сд, 32 лыжбр	471 пап, 441 иптап, 172, 278, 565 минп, 52 гв. мп, 63 гв. мп, 63 гв. мп (297 д-н), 272 зенап, 48, 369 озадн	374, 375 отб, 2, 3, 24, 25 оаэсб, 73 обрп		170 оиб
1943-10-05	ДА	КарФ	32 армия	289, 313, 367 сд, 65, 80 морские сбр, 33 лыжбр	1237 пап, 173, 280, 298 минп, 63 гв. мп, 275 зенап, 208, 446 озадн	376 отб, 21, 22, 26 оаэсб		261 оиб
1943-10-06	ДА	КарФ	7 воздушная армия		1598, 1599 зенап		1 гв., 260, 261 сад, 324 иад, 679 трап, 108, 118 раэ, 42 каэ
1943-10-07	ДА	КарФ			32, 298 озадн	376 отб (рота танков КВ), 28 оаэсб, 27, 47 одн брп		1 ибр с/н, 6 гв. батальон минеров, 773 оиб
1943-10-13	ДА	ЛФ	2 ударная армия	72, 86, 123, 131, 201 сд				734, 770 оиб
1943-10-14	ДА	ЛФ	23 армия	10, 92, 142 сд, 17, 22 УР	8, 154 кап, 336 пап, 94, 883 иптап, 174, 276 минп, 618 озадн	222, 260 отп		234, 363 оиб
1943-10-15	ДА	ЛФ	42 армия	56, 85, 109, 125, 189 сд, 79 УР	18 адп (65 лабр, 58 габр, 3, 80 тгабр, 120 габр БМ, 42 минбр), 1486 пап, 304, 384, 509, 705, 760 иптап, 320 гв. мп, 533, 534 минп, 7 зенад (465, 474, 602, 632 зенап), 631 зенап, 72 озадн	1 тбр, 1439 сап, 2 оабрб, 72 одн брп		54, 585 оиб
1943-10-16	ДА	ЛФ	55 армия	13, 46, 224, 291, 376 сд, 14 УР	81 пабр, 289, 690 иптап, 532 отпадн, 42 минбр (567 минп), 127, 134, 175 минп, 322 гв. мп, 970 зенап, 71, 613 озадн	152 тбр, 1 оабрб, 71 одн брп		325, 367 оиб
1943-10-17	ДА	ЛФ	67 армия	43 ск (11, 128, 314 сд), 43, 124, 268 сд, 16 УР	23 адп (2, 96 тгабр, 21 гв. габр БМ, 38 габр, 79 лабр, 28 минбр), 116 кап, 267 гв., 21, 260, 561, 1106 пап, 599, 754 гап, 882, 884 иптап, 52 гв. отпадн, 230 гв., 104, 122, 144, 193, 281, 504 минп, 20, 30, 38, 321 гв. мп, 32 зенад (1377, 1387, 1393, 1413 зенап), 43 зенад (464, 635, 1463, 1464 зенап), 803, 988 зенап, 73, 108, 758 озадн	98, 261 отп, 14 одн брп		53, 447 оиб
1943-10-18	ДА	ЛФ	Приморская оперативная группа	48, 98, 168 сд, 50 сбр, 48, 71 морские сбр, 73, 338 опаб	1973 иптап, 533, 535 опадн БМ, 184 минп, 92, 116 озадн	204 отп, 4 оабрб		295 оиб
1943-10-19	ДА	ЛФ	13 воздушная армия				276 бад, 277 шад, 275 иад, 13 рап, 12, 49, 52 раэ
