001	1941-12-01	Да
001	1941-12-01	Да	КарФ
001	1941-12-01	Да	КарФ	14 армия
001	1941-12-01	Да	КарФ	14 армия	12 бр. морской пехоты
002	1941-12-01	Да	КарФ	14 армия	104 сд
002	1941-12-01	Да	КарФ	14 армия	122 сд
003	1941-12-01	Да	КарФ	14 армия	73 ап
003	1941-12-01	Да	КарФ	14 армия	208 озад
003	1941-12-01	Да	КарФ	14 армия	107 отб
003	1941-12-01	Да	КарФ	14 армия	1 сад
003	1941-12-01	Да	КарФ	14 армия	31 осб
003	1941-12-01	Да	КарФ	14 армия	279 осб
004	1941-12-01	Да	КарФ	Кемская опер. группа
004	1941-12-01	Да	КарФ	Кемская опер. группа	27 сд
004	1941-12-01	Да	КарФ	Кемская опер. группа	54 сд
004	1941-12-01	Да	КарФ	Кемская опер. группа	88 сд
004	1941-12-01	Да	КарФ	Кемская опер. группа	186 сд
005	1941-12-01	Да	КарФ	Медвежегорская опер. группа
005	1941-12-01	Да	КарФ	Медвежегорская опер. группа	37 сд
005	1941-12-01	Да	КарФ	Медвежегорская опер. группа	71 сд
005	1941-12-01	Да	КарФ	Медвежегорская опер. группа	313 сд
005	1941-12-01	Да	КарФ	Медвежегорская опер. группа	17 оминб
005	1941-12-01	Да	КарФ	Медвежегорская опер. группа	4 отб
006	1941-12-01	Да	КарФ	263 сд
006	1941-12-01	Да	КарФ	289 сд
006	1941-12-01	Да	КарФ	15 оминб
006	1941-12-01	Да	КарФ	16 оминб
006	1941-12-01	Да	КарФ	103 сад
006	1941-12-01	Да	КарФ	19 оиб
007	1941-12-01	Да	ЛФ
007	1941-12-01	Да	ЛФ	8 армия
007	1941-12-01	Да	ЛФ	8 армия	10 сд
007	1941-12-01	Да	ЛФ	8 армия	86 сд
007	1941-12-01	Да	ЛФ	8 армия	168 сд
007	1941-12-01	Да	ЛФ	8 армия	265 сд
007	1941-12-01	Да	ЛФ	8 армия	11 сбр
007	1941-12-01	Да	ЛФ	8 армия	101 гап РВГК
007	1941-12-01	Да	ЛФ	8 армия	7 ап ПТО
007	1941-12-01	Да	ЛФ	8 армия	20 оминб
007	1941-12-01	Да	ЛФ	8 армия	20 озад
007	1941-12-01	Да	ЛФ	8 армия	39 озад
007	1941-12-01	Да	ЛФ	8 армия	133 озад
007	1941-12-01	Да	ЛФ	8 армия	107 отп
007	1941-12-01	Да	ЛФ	8 армия	439 иап
