001	1945-01-01	ДА
001	1945-01-01	ДА	ЛФ
001	1945-01-01	ДА	ЛФ	8 армия
001	1945-01-01	ДА	ЛФ	8 армия	30 гв. ск
001	1945-01-01	ДА	ЛФ	8 армия	45 гв. сд
001	1945-01-01	ДА	ЛФ	8 армия	63 гв. сд
001	1945-01-01	ДА	ЛФ	8 армия	64 гв. сд
001	1945-01-01	ДА	ЛФ	8 армия	109 ск 
001	1945-01-01	ДА	ЛФ	8 армия	109 сд
001	1945-01-01	ДА	ЛФ	8 армия	131 сд
001	1945-01-01	ДА	ЛФ	8 армия	8 эст. ск 
001	1945-01-01	ДА	ЛФ	8 армия	7 эст. сд
001	1945-01-01	ДА	ЛФ	8 армия	249 эст. сд
001	1945-01-01	ДА	ЛФ	8 армия	9 УР
001	1945-01-01	ДА	ЛФ	8 армия	79 УР
001	1945-01-01	ДА	ЛФ	8 армия	51 пабр
001	1945-01-01	ДА	ЛФ	8 армия	161 пабр
001	1945-01-01	ДА	ЛФ	8 армия	14 гв.
001	1945-01-01	ДА	ЛФ	8 армия	260 пап
001	1945-01-01	ДА	ЛФ	8 армия	184 минп
001	1945-01-01	ДА	ЛФ	8 армия	499 минп
001	1945-01-01	ДА	ЛФ	8 армия	505 минп
001	1945-01-01	ДА	ЛФ	8 армия	30 гв. мп
001	1945-01-01	ДА	ЛФ	8 армия	465 зенап
001	1945-01-01	ДА	ЛФ	8 армия	474 зенап
001	1945-01-01	ДА	ЛФ	8 армия	602 зенап
001	1945-01-01	ДА	ЛФ	8 армия	632 зенап
001	1945-01-01	ДА	ЛФ	8 армия	108 озадн
001	1945-01-01	ДА	ЛФ	8 армия	432 озадн
001	1945-01-01	ДА	ЛФ	8 армия	45 отп
001	1945-01-01	ДА	ЛФ	8 армия	82 отп
001	1945-01-01	ДА	ЛФ	8 армия	4 оабрб
001	1945-01-01	ДА	ЛФ	8 армия	71 одн брп
001	1945-01-01	ДА	ЛФ	8 армия	72 одн брп
001	1945-01-01	ДА	ЛФ	8 армия	1 исбр
001	1945-01-01	ДА	ЛФ	8 армия	175 орро
002	1945-01-01	ДА	ЛФ	23 армия
002	1945-01-01	ДА	ЛФ	23 армия	97 ск
002	1945-01-01	ДА	ЛФ	23 армия	177 сд
002	1945-01-01	ДА	ЛФ	23 армия	178 сд
002	1945-01-01	ДА	ЛФ	23 армия	224 сд
002	1945-01-01	ДА	ЛФ	23 армия	16 УР
002	1945-01-01	ДА	ЛФ	23 армия	17 УР
002	1945-01-01	ДА	ЛФ	23 армия	47 гв. пабр
002	1945-01-01	ДА	ЛФ	23 армия	21 пап
002	1945-01-01	ДА	ЛФ	23 армия	174 минп
002	1945-01-01	ДА	ЛФ	23 армия	175 минп
002	1945-01-01	ДА	ЛФ	23 армия	534 минп
002	1945-01-01	ДА	ЛФ	23 армия	567 минп
002	1945-01-01	ДА	ЛФ	23 армия	43 зенад 
002	1945-01-01	ДА	ЛФ	23 армия	464 зенап
002	1945-01-01	ДА	ЛФ	23 армия	635 зенап
002	1945-01-01	ДА	ЛФ	23 армия	1463 зенап
002	1945-01-01	ДА	ЛФ	23 армия	1464 зенап
002	1945-01-01	ДА	ЛФ	23 армия	71 озадн
002	1945-01-01	ДА	ЛФ	23 армия	168 озадн
002	1945-01-01	ДА	ЛФ	23 армия	177 озадн
002	1945-01-01	ДА	ЛФ	23 армия	618 озадн
002	1945-01-01	ДА	ЛФ	23 армия	49 оабрб
002	1945-01-01	ДА	ЛФ	23 армия	23 одн брп
002	1945-01-01	ДА	ЛФ	23 армия	20 исбр
002	1945-01-01	ДА	ЛФ	23 армия	92 пмб
003	1945-01-01	ДА	ЛФ	67 армия
003	1945-01-01	ДА	ЛФ	67 армия	111 ск
003	1945-01-01	ДА	ЛФ	67 армия	189 сд
003	1945-01-01	ДА	ЛФ	67 армия	196 сд
003	1945-01-01	ДА	ЛФ	67 армия	122 ск 
003	1945-01-01	ДА	ЛФ	67 армия	56 сд
003	1945-01-01	ДА	ЛФ	67 армия	85 сд
003	1945-01-01	ДА	ЛФ	67 армия	201 сд
003	1945-01-01	ДА	ЛФ	67 армия	14 УР
003	1945-01-01	ДА	ЛФ	67 армия	72 опаб
003	1945-01-01	ДА	ЛФ	67 армия	7 пабр
003	1945-01-01	ДА	ЛФ	67 армия	1486 пап
003	1945-01-01	ДА	ЛФ	67 армия	533 минп
003	1945-01-01	ДА	ЛФ	67 армия	32 зенад 
003	1945-01-01	ДА	ЛФ	67 армия	1377 зенап
003	1945-01-01	ДА	ЛФ	67 армия	1387 зенап
003	1945-01-01	ДА	ЛФ	67 армия	1393 зенап
003	1945-01-01	ДА	ЛФ	67 армия	1413 зенап
003	1945-01-01	ДА	ЛФ	67 армия	41 зенад 
003	1945-01-01	ДА	ЛФ	67 армия	244 зенап
003	1945-01-01	ДА	ЛФ	67 армия	245 зенап
003	1945-01-01	ДА	ЛФ	67 армия	463 зенап
003	1945-01-01	ДА	ЛФ	67 армия	634 зенап
003	1945-01-01	ДА	ЛФ	67 армия	45 зенад 
003	1945-01-01	ДА	ЛФ	67 армия	707 зенап
003	1945-01-01	ДА	ЛФ	67 армия	737 зенап
003	1945-01-01	ДА	ЛФ	67 армия	1465 зенап
003	1945-01-01	ДА	ЛФ	67 армия	1466 зенап
003	1945-01-01	ДА	ЛФ	67 армия	72 озадн
003	1945-01-01	ДА	ЛФ	67 армия	116 озадн
003	1945-01-01	ДА	ЛФ	67 армия	221 отп
003	1945-01-01	ДА	ЛФ	67 армия	23 исбр
004	1945-01-01	ДА	ЛФ	13 воздушная армия
004	1945-01-01	ДА	ЛФ	13 воздушная армия	1583 зенап
004	1945-01-01	ДА	ЛФ	13 воздушная армия	1674 зенап
004	1945-01-01	ДА	ЛФ	13 воздушная армия	281 шад
004	1945-01-01	ДА	ЛФ	13 воздушная армия	13 рап
004	1945-01-01	ДА	ЛФ	13 воздушная армия	212 санап
005	1945-01-01	ДА	ЛФ	6 ск
005	1945-01-01	ДА	ЛФ	10 сд
005	1945-01-01	ДА	ЛФ	327 сд
005	1945-01-01	ДА	ЛФ	382 сд
005	1945-01-01	ДА	ЛФ	3 акп
005	1945-01-01	ДА	ЛФ	329 оадн ОМ
005	1945-01-01	ДА	ЛФ	330 оадн ОМ
005	1945-01-01	ДА	ЛФ	11 гв.
005	1945-01-01	ДА	ЛФ	92 озадн
005	1945-01-01	ДА	ЛФ	3 оабрб
005	1945-01-01	ДА	ЛФ	2 мибр
005	1945-01-01	ДА	ЛФ	5 мпмп
005	1945-01-01	ДА	ЛФ	34 мпмб
006	1945-01-01	ДА	2 ПрибФ
006	1945-01-01	ДА	2 ПрибФ	1 ударная армия
006	1945-01-01	ДА	2 ПрибФ	1 ударная армия	112 ск
006	1945-01-01	ДА	2 ПрибФ	1 ударная армия	44 сд
006	1945-01-01	ДА	2 ПрибФ	1 ударная армия	98 сд
006	1945-01-01	ДА	2 ПрибФ	1 ударная армия	119 ск 
006	1945-01-01	ДА	2 ПрибФ	1 ударная армия	53 гв.
006	1945-01-01	ДА	2 ПрибФ	1 ударная армия	376 сд
006	1945-01-01	ДА	2 ПрибФ	1 ударная армия	377 сд
006	1945-01-01	ДА	2 ПрибФ	1 ударная армия	155 УР
