001	1943-02-01	ДА
001	1943-02-01	ДА	КарФ
001	1943-02-01	ДА	КарФ	14 армия
001	1943-02-01	ДА	КарФ	14 армия	10 гв.
001	1943-02-01	ДА	КарФ	14 армия	72 морская сбр
001	1943-02-01	ДА	КарФ	14 армия	1236 аап
001	1943-02-01	ДА	КарФ	14 армия	275 минп
001	1943-02-01	ДА	КарФ	14 армия	297 минп
001	1943-02-01	ДА	КарФ	14 армия	325 озадн
001	1943-02-01	ДА	КарФ	14 армия	487 озадн
001	1943-02-01	ДА	КарФ	14 армия	197 сап
001	1943-02-01	ДА	КарФ	14 армия	31 оиб
002	1943-02-01	ДА	КарФ	19 армия
002	1943-02-01	ДА	КарФ	19 армия	104 сд
002	1943-02-01	ДА	КарФ	19 армия	122 сд
002	1943-02-01	ДА	КарФ	19 армия	209 пап
002	1943-02-01	ДА	КарФ	19 армия	566 минп
002	1943-02-01	ДА	КарФ	19 армия	261 озадн
002	1943-02-01	ДА	КарФ	19 армия	377 отб
002	1943-02-01	ДА	КарФ	19 армия	429 отб
002	1943-02-01	ДА	КарФ	19 армия	835 сап
002	1943-02-01	ДА	КарФ	19 армия	279 оиб
003	1943-02-01	ДА	КарФ	26 армия
003	1943-02-01	ДА	КарФ	26 армия	63 гв. мп
003	1943-02-01	ДА	КарФ	26 армия	297 д
003	1943-02-01	ДА	КарФ	26 армия	298 озадн
003	1943-02-01	ДА	КарФ	26 армия	369 озадн
003	1943-02-01	ДА	КарФ	26 армия	374 отб
003	1943-02-01	ДА	КарФ	26 армия	375 отб
003	1943-02-01	ДА	КарФ	26 армия	3 оаэсб
003	1943-02-01	ДА	КарФ	26 армия	24 оаэсб
003	1943-02-01	ДА	КарФ	26 армия	25 оаэсб
003	1943-02-01	ДА	КарФ	26 армия	435 сап
003	1943-02-01	ДА	КарФ	26 армия	259 оиб
004	1943-02-01	ДА	КарФ	32 армия
004	1943-02-01	ДА	КарФ	32 армия	37 сд
004	1943-02-01	ДА	КарФ	32 армия	289 сд
004	1943-02-01	ДА	КарФ	32 армия	313 сд
004	1943-02-01	ДА	КарФ	32 армия	367 сд
004	1943-02-01	ДА	КарФ	32 армия	33 лыжбр
004	1943-02-01	ДА	КарФ	32 армия	1237 аап
004	1943-02-01	ДА	КарФ	32 армия	280 минп
004	1943-02-01	ДА	КарФ	32 армия	298 минп
004	1943-02-01	ДА	КарФ	32 армия	208 озадн
004	1943-02-01	ДА	КарФ	32 армия	446 озадн
004	1943-02-01	ДА	КарФ	32 армия	376 отб
004	1943-02-01	ДА	КарФ	32 армия	4 оаэсб
004	1943-02-01	ДА	КарФ	32 армия	8 оаэсб
004	1943-02-01	ДА	КарФ	32 армия	21 оаэсб
004	1943-02-01	ДА	КарФ	32 армия	22 оаэсб
004	1943-02-01	ДА	КарФ	32 армия	26 оаэсб
004	1943-02-01	ДА	КарФ	32 армия	841 сап
004	1943-02-01	ДА	КарФ	32 армия	261 оиб
005	1943-02-01	ДА	КарФ	7 воздушная армия
005	1943-02-01	ДА	КарФ	7 воздушная армия	258 иад
005	1943-02-01	ДА	КарФ	7 воздушная армия	259 иад
005	1943-02-01	ДА	КарФ	7 воздушная армия	261 шад
005	1943-02-01	ДА	КарФ	7 воздушная армия	42 краэ
006	1943-02-01	ДА	КарФ	376 отб
006	1943-02-01	ДА	КарФ	27 одн брп
006	1943-02-01	ДА	КарФ	47 одн брп
006	1943-02-01	ДА	КарФ	1 ибр с/н
006	1943-02-01	ДА	КарФ	19 оиб
006	1943-02-01	ДА	КарФ	27 оиб
007	1943-02-01	ДА	ЛФ
007	1943-02-01	ДА	ЛФ	23 армия
007	1943-02-01	ДА	ЛФ	23 армия	10 сд
007	1943-02-01	ДА	ЛФ	23 армия	92 сд
007	1943-02-01	ДА	ЛФ	23 армия	291 сд
007	1943-02-01	ДА	ЛФ	23 армия	17 УР
007	1943-02-01	ДА	ЛФ	23 армия	22 УР
007	1943-02-01	ДА	ЛФ	23 армия	260 аап
007	1943-02-01	ДА	ЛФ	23 армия	94 иптап
007	1943-02-01	ДА	ЛФ	23 армия	883 иптап
007	1943-02-01	ДА	ЛФ	23 армия	73 озадн
007	1943-02-01	ДА	ЛФ	23 армия	618 озадн
007	1943-02-01	ДА	ЛФ	23 армия	222 тбр
007	1943-02-01	ДА	ЛФ	23 армия	915 сап
007	1943-02-01	ДА	ЛФ	23 армия	234 оиб
008	1943-02-01	ДА	ЛФ	42 армия
008	1943-02-01	ДА	ЛФ	42 армия	85 сд
008	1943-02-01	ДА	ЛФ	42 армия	109 сд
008	1943-02-01	ДА	ЛФ	42 армия	125 сд
008	1943-02-01	ДА	ЛФ	42 армия	79 УР
008	1943-02-01	ДА	ЛФ	42 армия	14 гв.
008	1943-02-01	ДА	ЛФ	42 армия	1475 аап
008	1943-02-01	ДА	ЛФ	42 армия	304 иптап
008	1943-02-01	ДА	ЛФ	42 армия	384 иптап
008	1943-02-01	ДА	ЛФ	42 армия	509 иптап
008	1943-02-01	ДА	ЛФ	42 армия	705 иптап
008	1943-02-01	ДА	ЛФ	42 армия	760 иптап
008	1943-02-01	ДА	ЛФ	42 армия	631 зенап
008	1943-02-01	ДА	ЛФ	42 армия	1 оабрб
008	1943-02-01	ДА	ЛФ	42 армия	2 оабрб
008	1943-02-01	ДА	ЛФ	42 армия	914 сап
008	1943-02-01	ДА	ЛФ	42 армия	54 оиб
008	1943-02-01	ДА	ЛФ	42 армия	585 оиб
009	1943-02-01	ДА	ЛФ	55 армия
