001	1943-03-01	ДА
001	1943-03-01	ДА	КарФ
001	1943-03-01	ДА	КарФ	14 армия
001	1943-03-01	ДА	КарФ	14 армия	10 гв.
001	1943-03-01	ДА	КарФ	14 армия	72 морская сбр
001	1943-03-01	ДА	КарФ	14 армия	1236 аап
001	1943-03-01	ДА	КарФ	14 армия	275 минп
001	1943-03-01	ДА	КарФ	14 армия	287 минп
001	1943-03-01	ДА	КарФ	14 армия	325 озадн
001	1943-03-01	ДА	КарФ	14 армия	487 озадн
001	1943-03-01	ДА	КарФ	14 армия	197 сап
001	1943-03-01	ДА	КарФ	14 армия	31 оиб
002	1943-03-01	ДА	КарФ	19 армия
002	1943-03-01	ДА	КарФ	19 армия	209 пап
002	1943-03-01	ДА	КарФ	19 армия	1 д
002	1943-03-01	ДА	КарФ	19 армия	566 минп
002	1943-03-01	ДА	КарФ	19 армия	261 озадн
002	1943-03-01	ДА	КарФ	19 армия	377 отб
002	1943-03-01	ДА	КарФ	19 армия	429 отб
002	1943-03-01	ДА	КарФ	19 армия	835 сап
002	1943-03-01	ДА	КарФ	19 армия	279 оиб
003	1943-03-01	ДА	КарФ	26 армия
003	1943-03-01	ДА	КарФ	26 армия	63 гв. мп
003	1943-03-01	ДА	КарФ	26 армия	297 д
003	1943-03-01	ДА	КарФ	26 армия	298 озадн
003	1943-03-01	ДА	КарФ	26 армия	369 озадн
003	1943-03-01	ДА	КарФ	26 армия	374 отб
003	1943-03-01	ДА	КарФ	26 армия	375 отб
003	1943-03-01	ДА	КарФ	26 армия	3 оаэсб
003	1943-03-01	ДА	КарФ	26 армия	24 оаэсб
003	1943-03-01	ДА	КарФ	26 армия	25 оаэсб
003	1943-03-01	ДА	КарФ	26 армия	435 сап
003	1943-03-01	ДА	КарФ	26 армия	259 оиб
004	1943-03-01	ДА	КарФ	32 армия
004	1943-03-01	ДА	КарФ	32 армия	289 сд
004	1943-03-01	ДА	КарФ	32 армия	313 сд
004	1943-03-01	ДА	КарФ	32 армия	367 сд
004	1943-03-01	ДА	КарФ	32 армия	80 морские сбр
004	1943-03-01	ДА	КарФ	32 армия	1237 аап
004	1943-03-01	ДА	КарФ	32 армия	280 минп
004	1943-03-01	ДА	КарФ	32 армия	298 минп
004	1943-03-01	ДА	КарФ	32 армия	208 озадн
004	1943-03-01	ДА	КарФ	32 армия	446 озадн
004	1943-03-01	ДА	КарФ	32 армия	376 отб
004	1943-03-01	ДА	КарФ	32 армия	4 оаэсб
004	1943-03-01	ДА	КарФ	32 армия	8 оаэсб
004	1943-03-01	ДА	КарФ	32 армия	21 оаэсб
004	1943-03-01	ДА	КарФ	32 армия	22 оаэсб
004	1943-03-01	ДА	КарФ	32 армия	26 оаэсб
004	1943-03-01	ДА	КарФ	32 армия	841 сап
004	1943-03-01	ДА	КарФ	32 армия	261 оиб
005	1943-03-01	ДА	КарФ	7 воздушная армия
005	1943-03-01	ДА	КарФ	7 воздушная армия	258 сад
005	1943-03-01	ДА	КарФ	7 воздушная армия	260 сад
005	1943-03-01	ДА	КарФ	7 воздушная армия	261 сад
005	1943-03-01	ДА	КарФ	7 воздушная армия	679 трап
005	1943-03-01	ДА	КарФ	7 воздушная армия	118 раэ
006	1943-03-01	ДА	КарФ	376 отб
006	1943-03-01	ДА	КарФ	27 одн брп
006	1943-03-01	ДА	КарФ	47 одн брп
006	1943-03-01	ДА	КарФ	1 ибр с/н
006	1943-03-01	ДА	КарФ	733 оминсб
007	1943-03-01	ДА	ЛФ
007	1943-03-01	ДА	ЛФ	2 ударная армия
007	1943-03-01	ДА	ЛФ	2 ударная армия	2 ад
007	1943-03-01	ДА	ЛФ	2 ударная армия	20 лабр
007	1943-03-01	ДА	ЛФ	2 ударная армия	4 габр
007	1943-03-01	ДА	ЛФ	2 ударная армия	21 аап
007	1943-03-01	ДА	ЛФ	2 ударная армия	561 аап
007	1943-03-01	ДА	ЛФ	2 ударная армия	430 гап БМ
007	1943-03-01	ДА	ЛФ	2 ударная армия	504 аминп
007	1943-03-01	ДА	ЛФ	2 ударная армия	20 гв. мп
007	1943-03-01	ДА	ЛФ	2 ударная армия	318 гв. мп
007	1943-03-01	ДА	ЛФ	2 ударная армия	464 зенап
007	1943-03-01	ДА	ЛФ	2 ударная армия	635 зенап
007	1943-03-01	ДА	ЛФ	2 ударная армия	1463 зенап
007	1943-03-01	ДА	ЛФ	2 ударная армия	1464 зенап
007	1943-03-01	ДА	ЛФ	2 ударная армия	45 зенад 
007	1943-03-01	ДА	ЛФ	2 ударная армия	737 зенап
007	1943-03-01	ДА	ЛФ	2 ударная армия	16 тбр
007	1943-03-01	ДА	ЛФ	2 ударная армия	98 тбр
007	1943-03-01	ДА	ЛФ	2 ударная армия	500 отб
007	1943-03-01	ДА	ЛФ	2 ударная армия	501 отб
