001	1945-02-01	ДА
001	1945-02-01	ДА	ЛФ
001	1945-02-01	ДА	ЛФ	8 армия
001	1945-02-01	ДА	ЛФ	8 армия	30 гв. ск
001	1945-02-01	ДА	ЛФ	8 армия	45 гв. сд
001	1945-02-01	ДА	ЛФ	8 армия	63 гв. сд
001	1945-02-01	ДА	ЛФ	8 армия	64 гв. сд
001	1945-02-01	ДА	ЛФ	8 армия	6 ск 
001	1945-02-01	ДА	ЛФ	8 армия	10 сд
001	1945-02-01	ДА	ЛФ	8 армия	327 сд
001	1945-02-01	ДА	ЛФ	8 армия	382 сд
001	1945-02-01	ДА	ЛФ	8 армия	8 эст. ск 
001	1945-02-01	ДА	ЛФ	8 армия	7 эст. сд
001	1945-02-01	ДА	ЛФ	8 армия	249 эст. сд
001	1945-02-01	ДА	ЛФ	8 армия	109 ск 
001	1945-02-01	ДА	ЛФ	8 армия	109 сд
001	1945-02-01	ДА	ЛФ	8 армия	131 сд
001	1945-02-01	ДА	ЛФ	8 армия	9 УР
001	1945-02-01	ДА	ЛФ	8 армия	79 УР
001	1945-02-01	ДА	ЛФ	8 армия	51 пабр
001	1945-02-01	ДА	ЛФ	8 армия	161 пабр
001	1945-02-01	ДА	ЛФ	8 армия	70 пап
001	1945-02-01	ДА	ЛФ	8 армия	260 пап
001	1945-02-01	ДА	ЛФ	8 армия	174 минп
001	1945-02-01	ДА	ЛФ	8 армия	184 минп
001	1945-02-01	ДА	ЛФ	8 армия	499 минп
001	1945-02-01	ДА	ЛФ	8 армия	505 минп
001	1945-02-01	ДА	ЛФ	8 армия	30 гв. мп
001	1945-02-01	ДА	ЛФ	8 армия	465 зенап
001	1945-02-01	ДА	ЛФ	8 армия	474 зенап
001	1945-02-01	ДА	ЛФ	8 армия	602 зенап
001	1945-02-01	ДА	ЛФ	8 армия	632 зенап
001	1945-02-01	ДА	ЛФ	8 армия	108 озадн
001	1945-02-01	ДА	ЛФ	8 армия	432 озадн
001	1945-02-01	ДА	ЛФ	8 армия	45 отп
001	1945-02-01	ДА	ЛФ	8 армия	82 отп
001	1945-02-01	ДА	ЛФ	8 армия	4 оабрб
001	1945-02-01	ДА	ЛФ	8 армия	71 одн брп
001	1945-02-01	ДА	ЛФ	8 армия	72 одн брп
001	1945-02-01	ДА	ЛФ	8 армия	1 исбр
001	1945-02-01	ДА	ЛФ	8 армия	175 орро
002	1945-02-01	ДА	ЛФ	23 армия
002	1945-02-01	ДА	ЛФ	23 армия	97 ск
002	1945-02-01	ДА	ЛФ	23 армия	177 сд
002	1945-02-01	ДА	ЛФ	23 армия	178 сд
002	1945-02-01	ДА	ЛФ	23 армия	224 сд
002	1945-02-01	ДА	ЛФ	23 армия	16 УР
002	1945-02-01	ДА	ЛФ	23 армия	17 УР
002	1945-02-01	ДА	ЛФ	23 армия	47 гв. пабр
002	1945-02-01	ДА	ЛФ	23 армия	21 пап
002	1945-02-01	ДА	ЛФ	23 армия	24 гв. мп
002	1945-02-01	ДА	ЛФ	23 армия	464 зенап
002	1945-02-01	ДА	ЛФ	23 армия	635 зенап
002	1945-02-01	ДА	ЛФ	23 армия	1463 зенап
002	1945-02-01	ДА	ЛФ	23 армия	1464 зенап
002	1945-02-01	ДА	ЛФ	23 армия	71 озадн
002	1945-02-01	ДА	ЛФ	23 армия	168 озадн
002	1945-02-01	ДА	ЛФ	23 армия	177 озадн
002	1945-02-01	ДА	ЛФ	23 армия	618 озадн
002	1945-02-01	ДА	ЛФ	23 армия	49 оабрб
002	1945-02-01	ДА	ЛФ	23 армия	23 одн брп
002	1945-02-01	ДА	ЛФ	23 армия	172 оиб
003	1945-02-01	ДА	ЛФ	67 армия
003	1945-02-01	ДА	ЛФ	67 армия	111 ск
003	1945-02-01	ДА	ЛФ	67 армия	189 сд
003	1945-02-01	ДА	ЛФ	67 армия	196 сд
003	1945-02-01	ДА	ЛФ	67 армия	122 ск 
003	1945-02-01	ДА	ЛФ	67 армия	56 сд
003	1945-02-01	ДА	ЛФ	67 армия	85 сд
003	1945-02-01	ДА	ЛФ	67 армия	201 сд
003	1945-02-01	ДА	ЛФ	67 армия	14 УР
