001	1941-11-01	Да
001	1941-11-01	Да	КарФ
001	1941-11-01	Да	КарФ	14 армия
001	1941-11-01	Да	КарФ	14 армия	14 сд
001	1941-11-01	Да	КарФ	14 армия	52 сд
001	1941-11-01	Да	КарФ	14 армия	186 сд
001	1941-11-01	Да	КарФ	14 армия	104 пап
001	1941-11-01	Да	КарФ	14 армия	149 оад
001	1941-11-01	Да	КарФ	14 армия	107 отб
001	1941-11-01	Да	КарФ	14 армия	1 сад
001	1941-11-01	Да	КарФ	14 армия	103 сад
001	1941-11-01	Да	КарФ	14 армия	31 осб
001	1941-11-01	Да	КарФ	14 армия	279 осб
002	1941-11-01	Да	КарФ	14 армия	104 сд
002	1941-11-01	Да	КарФ	14 армия	122 сд
003	1941-11-01	Да	КарФ	Кемская опер. группа
003	1941-11-01	Да	КарФ	Кемская опер. группа	27 сд
003	1941-11-01	Да	КарФ	Кемская опер. группа	54 сд
003	1941-11-01	Да	КарФ	Кемская опер. группа	88 сд
003	1941-11-01	Да	КарФ	Кемская опер. группа	19 оиб
004	1941-11-01	Да	КарФ	Медвежегорская опер. группа
004	1941-11-01	Да	КарФ	Медвежегорская опер. группа	37 сд
004	1941-11-01	Да	КарФ	Медвежегорская опер. группа	71 сд
004	1941-11-01	Да	КарФ	Медвежегорская опер. группа	289 сд
004	1941-11-01	Да	КарФ	Медвежегорская опер. группа	313 сд
004	1941-11-01	Да	КарФ	Медвежегорская опер. группа	17 оминб
005	1941-11-01	Да	КарФ	15 оминб
005	1941-11-01	Да	КарФ	16 оминб
005	1941-11-01	Да	КарФ	Петрозаводский бригадный район ПВО
006	1941-11-01	Да	ЛФ
006	1941-11-01	Да	ЛФ	8 армия
006	1941-11-01	Да	ЛФ	8 армия	11 сд
006	1941-11-01	Да	ЛФ	8 армия	2 истребительные батальоны
006	1941-11-01	Да	ЛФ	8 армия	4 истребительные батальоны
006	1941-11-01	Да	ЛФ	8 армия	5 истребительные батальоны
