001	1944-08-01	ДА
001	1944-08-01	ДА	КарФ
001	1944-08-01	ДА	КарФ	7 армия
001	1944-08-01	ДА	КарФ	7 армия	4 ск
001	1944-08-01	ДА	КарФ	7 армия	114 сд
001	1944-08-01	ДА	КарФ	7 армия	272 сд
001	1944-08-01	ДА	КарФ	7 армия	37 гв. ск 
001	1944-08-01	ДА	КарФ	7 армия	98 гв. сд
001	1944-08-01	ДА	КарФ	7 армия	99 гв. сд
001	1944-08-01	ДА	КарФ	7 армия	100 гв. сд
001	1944-08-01	ДА	КарФ	7 армия	99 ск 
001	1944-08-01	ДА	КарФ	7 армия	18 сд
001	1944-08-01	ДА	КарФ	7 армия	65 сд
001	1944-08-01	ДА	КарФ	7 армия	310 сд
001	1944-08-01	ДА	КарФ	7 армия	127 лгск 
001	1944-08-01	ДА	КарФ	7 армия	30 лыжбр
001	1944-08-01	ДА	КарФ	7 армия	32 лыжбр
001	1944-08-01	ДА	КарФ	7 армия	33 лыжбр
001	1944-08-01	ДА	КарФ	7 армия	150 УР
001	1944-08-01	ДА	КарФ	7 армия	162 УР
001	1944-08-01	ДА	КарФ	7 армия	7 адп 
001	1944-08-01	ДА	КарФ	7 армия	11 лабр
001	1944-08-01	ДА	КарФ	7 армия	17 пабр
001	1944-08-01	ДА	КарФ	7 армия	105 габр БМ
001	1944-08-01	ДА	КарФ	7 армия	1 гв. кабр
001	1944-08-01	ДА	КарФ	7 армия	633 кап
001	1944-08-01	ДА	КарФ	7 армия	1942 кап
001	1944-08-01	ДА	КарФ	7 армия	905 горн. кап
001	1944-08-01	ДА	КарФ	7 армия	514 иптап
001	1944-08-01	ДА	КарФ	7 армия	354 отпадн
001	1944-08-01	ДА	КарФ	7 армия	298 минп
001	1944-08-01	ДА	КарФ	7 армия	482 минп
001	1944-08-01	ДА	КарФ	7 армия	530 минп
001	1944-08-01	ДА	КарФ	7 армия	535 минп
001	1944-08-01	ДА	КарФ	7 армия	619 минп
001	1944-08-01	ДА	КарФ	7 армия	25 гв. мбр
001	1944-08-01	ДА	КарФ	7 армия	44 гв. мп
001	1944-08-01	ДА	КарФ	7 армия	46 гв. мп
001	1944-08-01	ДА	КарФ	7 армия	64 гв. мп
001	1944-08-01	ДА	КарФ	7 армия	40 зенад 
001	1944-08-01	ДА	КарФ	7 армия	1407 зенап
001	1944-08-01	ДА	КарФ	7 армия	1411 зенап
001	1944-08-01	ДА	КарФ	7 армия	1415 зенап
001	1944-08-01	ДА	КарФ	7 армия	1527 зенап
001	1944-08-01	ДА	КарФ	7 армия	54 озадн
001	1944-08-01	ДА	КарФ	7 армия	268 озадн
001	1944-08-01	ДА	КарФ	7 армия	616 озадн
001	1944-08-01	ДА	КарФ	7 армия	7 гв.
001	1944-08-01	ДА	КарФ	7 армия	70 гв.
001	1944-08-01	ДА	КарФ	7 армия	92 отп
001	1944-08-01	ДА	КарФ	7 армия	339 гв. тсап
001	1944-08-01	ДА	КарФ	7 армия	370 гв. тсап
001	1944-08-01	ДА	КарФ	7 армия	371 гв. тсап
001	1944-08-01	ДА	КарФ	7 армия	372 гв. тсап
001	1944-08-01	ДА	КарФ	7 армия	378 гв. тсап
001	1944-08-01	ДА	КарФ	7 армия	284 омб 
001	1944-08-01	ДА	КарФ	7 армия	13 шисбр
001	1944-08-01	ДА	КарФ	7 армия	20 шисбр
001	1944-08-01	ДА	КарФ	7 армия	18 оиб
001	1944-08-01	ДА	КарФ	7 армия	55 пмб
001	1944-08-01	ДА	КарФ	7 армия	7 ооб
001	1944-08-01	ДА	КарФ	7 армия	28 ооб
001	1944-08-01	ДА	КарФ	7 армия	40 ооб
002	1944-08-01	ДА	КарФ	14 армия
002	1944-08-01	ДА	КарФ	14 армия	126 лгск
002	1944-08-01	ДА	КарФ	14 армия	72 морсбр
002	1944-08-01	ДА	КарФ	14 армия	14 сд
002	1944-08-01	ДА	КарФ	14 армия	901 горн.
002	1944-08-01	ДА	КарФ	14 армия	1236 пап
002	1944-08-01	ДА	КарФ	14 армия	275 минп
002	1944-08-01	ДА	КарФ	14 армия	297 минп
002	1944-08-01	ДА	КарФ	14 армия	156 зенап
002	1944-08-01	ДА	КарФ	14 армия	487 озадн
002	1944-08-01	ДА	КарФ	14 армия	31 оиб
003	1944-08-01	ДА	КарФ	19 армия
003	1944-08-01	ДА	КарФ	19 армия	21 сд
003	1944-08-01	ДА	КарФ	19 армия	67 сд
003	1944-08-01	ДА	КарФ	19 армия	104 сд
003	1944-08-01	ДА	КарФ	19 армия	122 сд
003	1944-08-01	ДА	КарФ	19 армия	341 сд
003	1944-08-01	ДА	КарФ	19 армия	1216 кап
003	1944-08-01	ДА	КарФ	19 армия	1293 пап
003	1944-08-01	ДА	КарФ	19 армия	566 минп
003	1944-08-01	ДА	КарФ	19 армия	59 гв. мп
003	1944-08-01	ДА	КарФ	19 армия	305 гв. мп
003	1944-08-01	ДА	КарФ	19 армия	48 озадн
003	1944-08-01	ДА	КарФ	19 армия	208 озадн
003	1944-08-01	ДА	КарФ	19 армия	261 озадн
003	1944-08-01	ДА	КарФ	19 армия	38 гв. тбр
003	1944-08-01	ДА	КарФ	19 армия	88 отп
003	1944-08-01	ДА	КарФ	19 армия	279 оиб
004	1944-08-01	ДА	КарФ	26 армия
004	1944-08-01	ДА	КарФ	26 армия	31 ск
004	1944-08-01	ДА	КарФ	26 армия	83 сд
004	1944-08-01	ДА	КарФ	26 армия	205 сд
004	1944-08-01	ДА	КарФ	26 армия	54 сд
004	1944-08-01	ДА	КарФ	26 армия	367 сд
004	1944-08-01	ДА	КарФ	26 армия	471 пап
004	1944-08-01	ДА	КарФ	26 армия	278 минп
004	1944-08-01	ДА	КарФ	26 армия	565 минп
004	1944-08-01	ДА	КарФ	26 армия	272 зенап
004	1944-08-01	ДА	КарФ	26 армия	91 отп
004	1944-08-01	ДА	КарФ	26 армия	170 оиб
004	1944-08-01	ДА	КарФ	26 армия	193 орро
004	1944-08-01	ДА	КарФ	26 армия	195 орро
005	1944-08-01	ДА	КарФ	32 армия
005	1944-08-01	ДА	КарФ	32 армия	27 сд
005	1944-08-01	ДА	КарФ	32 армия	176 сд
005	1944-08-01	ДА	КарФ	32 армия	289 сд
005	1944-08-01	ДА	КарФ	32 армия	313 сд
005	1944-08-01	ДА	КарФ	32 армия	368 сд
005	1944-08-01	ДА	КарФ	32 армия	69 морсбр
005	1944-08-01	ДА	КарФ	32 армия	70 морсбр
005	1944-08-01	ДА	КарФ	32 армия	1237 пап
005	1944-08-01	ДА	КарФ	32 армия	620 минп
005	1944-08-01	ДА	КарФ	32 армия	621 минп
005	1944-08-01	ДА	КарФ	32 армия	275 зенап
005	1944-08-01	ДА	КарФ	32 армия	90 отп
005	1944-08-01	ДА	КарФ	32 армия	1 мибр
005	1944-08-01	ДА	КарФ	32 армия	733 оиб
005	1944-08-01	ДА	КарФ	32 армия	6 ооб
005	1944-08-01	ДА	КарФ	32 армия	196 орро
006	1944-08-01	ДА	КарФ	7 воздушная армия
006	1944-08-01	ДА	КарФ	7 воздушная армия	1006 зенап
006	1944-08-01	ДА	КарФ	7 воздушная армия	1598 зенап
006	1944-08-01	ДА	КарФ	7 воздушная армия	1599 зенап
006	1944-08-01	ДА	КарФ	7 воздушная армия	1 гв.
006	1944-08-01	ДА	КарФ	7 воздушная армия	260 сад
006	1944-08-01	ДА	КарФ	7 воздушная армия	261 сад
006	1944-08-01	ДА	КарФ	7 воздушная армия	858 иап
006	1944-08-01	ДА	КарФ	7 воздушная армия	121 оапс
006	1944-08-01	ДА	КарФ	7 воздушная армия	119 раэ
007	1944-08-01	ДА	КарФ	31 об мп
007	1944-08-01	ДА	КарФ	32 озадн
007	1944-08-01	ДА	КарФ	298 озадн
007	1944-08-01	ДА	КарФ	7 одн брп
007	1944-08-01	ДА	КарФ	27 одн брп
007	1944-08-01	ДА	КарФ	47 одн брп
007	1944-08-01	ДА	КарФ	6 гв. батальон минеров
008	1944-08-01	ДА	ЛФ
008	1944-08-01	ДА	ЛФ	2 ударная армия
008	1944-08-01	ДА	ЛФ	2 ударная армия	109 ск
008	1944-08-01	ДА	ЛФ	2 ударная армия	72 сд
008	1944-08-01	ДА	ЛФ	2 ударная армия	109 сд
008	1944-08-01	ДА	ЛФ	2 ударная армия	125 сд
008	1944-08-01	ДА	ЛФ	2 ударная армия	122 ск 
008	1944-08-01	ДА	ЛФ	2 ударная армия	43 сд
008	1944-08-01	ДА	ЛФ	2 ударная армия	98 сд
008	1944-08-01	ДА	ЛФ	2 ударная армия	189 сд
008	1944-08-01	ДА	ЛФ	2 ударная армия	124 ск 
008	1944-08-01	ДА	ЛФ	2 ударная армия	48 сд
008	1944-08-01	ДА	ЛФ	2 ударная армия	131 сд
008	1944-08-01	ДА	ЛФ	2 ударная армия	256 сд
008	1944-08-01	ДА	ЛФ	2 ударная армия	16 УР
008	1944-08-01	ДА	ЛФ	2 ударная армия	8 акп
008	1944-08-01	ДА	ЛФ	2 ударная армия	18 адп 
008	1944-08-01	ДА	ЛФ	2 ударная армия	65 лабр
008	1944-08-01	ДА	ЛФ	2 ударная армия	2 тгабр
008	1944-08-01	ДА	ЛФ	2 ударная армия	80 тгабр
008	1944-08-01	ДА	ЛФ	2 ударная армия	42 минбр
008	1944-08-01	ДА	ЛФ	2 ударная армия	23 адп 
008	1944-08-01	ДА	ЛФ	2 ударная армия	79 лабр
008	1944-08-01	ДА	ЛФ	2 ударная армия	3 тгабр
008	1944-08-01	ДА	ЛФ	2 ударная армия	96 тгабр
008	1944-08-01	ДА	ЛФ	2 ударная армия	28 минбр
008	1944-08-01	ДА	ЛФ	2 ударная армия	161 пабр
008	1944-08-01	ДА	ЛФ	2 ударная армия	154 кпап
008	1944-08-01	ДА	ЛФ	2 ударная армия	70 пап
008	1944-08-01	ДА	ЛФ	2 ударная армия	409 отпадн
008	1944-08-01	ДА	ЛФ	2 ударная армия	184 минп
008	1944-08-01	ДА	ЛФ	2 ударная армия	194 минп
008	1944-08-01	ДА	ЛФ	2 ударная армия	499 минп
008	1944-08-01	ДА	ЛФ	2 ударная армия	504 минп
008	1944-08-01	ДА	ЛФ	2 ударная армия	30 гв. мп
008	1944-08-01	ДА	ЛФ	2 ударная армия	38 гв. мп
008	1944-08-01	ДА	ЛФ	2 ударная армия	465 зенап
008	1944-08-01	ДА	ЛФ	2 ударная армия	474 зенап
008	1944-08-01	ДА	ЛФ	2 ударная армия	602 зенап
