001	1941-06-22	Да
001	1941-06-22	Да	СФ
001	1941-06-22	Да	СФ	7 армия
001	1941-06-22	Да	СФ	7 армия	54 сд
001	1941-06-22	Да	СФ	7 армия	71 сд
001	1941-06-22	Да	СФ	7 армия	168 сд
001	1941-06-22	Да	СФ	7 армия	237 сд
001	1941-06-22	Да	СФ	7 армия	208 озад
001	1941-06-22	Да	СФ	7 армия	55 сад
001	1941-06-22	Да	СФ	7 армия	184 осб
002	1941-06-22	Да	СФ	14 армия
002	1941-06-22	Да	СФ	14 армия	42 ск
002	1941-06-22	Да	СФ	14 армия	104 сд
002	1941-06-22	Да	СФ	14 армия	122 сд
002	1941-06-22	Да	СФ	14 армия	52 сд
002	1941-06-22	Да	СФ	14 армия	104 пап РГК
002	1941-06-22	Да	СФ	14 армия	1 тд
002	1941-06-22	Да	СФ	14 армия	1 сад
002	1941-06-22	Да	СФ	14 армия	31 осб
003	1941-06-22	Да	СФ	23 армия
003	1941-06-22	Да	СФ	23 армия	19 ск
003	1941-06-22	Да	СФ	23 армия	115 сд
003	1941-06-22	Да	СФ	23 армия	142 сд
003	1941-06-22	Да	СФ	23 армия	50 ск 
003	1941-06-22	Да	СФ	23 армия	43 сд
003	1941-06-22	Да	СФ	23 армия	70 сд
003	1941-06-22	Да	СФ	23 армия	123 сд
003	1941-06-22	Да	СФ	23 армия	27 УР
003	1941-06-22	Да	СФ	23 армия	28 УР
003	1941-06-22	Да	СФ	23 армия	24 кап
003	1941-06-22	Да	СФ	23 армия	28 кап
003	1941-06-22	Да	СФ	23 армия	43 кап
003	1941-06-22	Да	СФ	23 армия	101 гап
003	1941-06-22	Да	СФ	23 армия	519 гап б/м РГК
003	1941-06-22	Да	СФ	23 армия	27 озад
003	1941-06-22	Да	СФ	23 армия	241 озад
003	1941-06-22	Да	СФ	23 армия	10 мк 
003	1941-06-22	Да	СФ	23 армия	21 тд
003	1941-06-22	Да	СФ	23 армия	24 тд
003	1941-06-22	Да	СФ	23 армия	7 мцп
003	1941-06-22	Да	СФ	23 армия	5 сад
003	1941-06-22	Да	СФ	23 армия	15 каэ
003	1941-06-22	Да	СФ	23 армия	19 каэ
003	1941-06-22	Да	СФ	23 армия	109 миб
004	1941-06-22	Да	СФ	2 корпус ПВО
004	1941-06-22	Да	СФ	115 зенап
004	1941-06-22	Да	СФ	169 зенап
004	1941-06-22	Да	СФ	189 зенап
004	1941-06-22	Да	СФ	192 зенап
004	1941-06-22	Да	СФ	194 зенап
