001	1942-06-01	ДА
001	1942-06-01	ДА	КарФ
001	1942-06-01	ДА	КарФ	14 армия
001	1942-06-01	ДА	КарФ	14 армия	10 гв.
001	1942-06-01	ДА	КарФ	14 армия	72 морская сбр
001	1942-06-01	ДА	КарФ	14 армия	6 лыжбр
001	1942-06-01	ДА	КарФ	14 армия	23 УР
001	1942-06-01	ДА	КарФ	14 армия	104 аап
001	1942-06-01	ДА	КарФ	14 армия	1236 аап
001	1942-06-01	ДА	КарФ	14 армия	11 гв. мп
001	1942-06-01	ДА	КарФ	14 армия	19 гв.
001	1942-06-01	ДА	КарФ	14 армия	20 гв.
001	1942-06-01	ДА	КарФ	14 армия	837 иап
001	1942-06-01	ДА	КарФ	14 армия	31 оиб
001	1942-06-01	ДА	КарФ	14 армия	90 оиб
001	1942-06-01	ДА	КарФ	14 армия	259 оиб
002	1942-06-01	ДА	КарФ	19 армия
002	1942-06-01	ДА	КарФ	19 армия	104 сд
002	1942-06-01	ДА	КарФ	19 армия	122 сд
002	1942-06-01	ДА	КарФ	19 армия	438 лап
002	1942-06-01	ДА	КарФ	19 армия	377 отб
002	1942-06-01	ДА	КарФ	19 армия	429 отб
002	1942-06-01	ДА	КарФ	19 армия	435 иап
002	1942-06-01	ДА	КарФ	19 армия	609 иап
002	1942-06-01	ДА	КарФ	19 армия	835 иап
002	1942-06-01	ДА	КарФ	19 армия	279 оиб
003	1942-06-01	ДА	КарФ	26 армия
003	1942-06-01	ДА	КарФ	26 армия	23 гв.
003	1942-06-01	ДА	КарФ	26 армия	54 сд
003	1942-06-01	ДА	КарФ	26 армия	152 сд
003	1942-06-01	ДА	КарФ	26 армия	263 сд
003	1942-06-01	ДА	КарФ	26 армия	80 морские сбр
003	1942-06-01	ДА	КарФ	26 армия	85 морские сбр
003	1942-06-01	ДА	КарФ	26 армия	471 аап
003	1942-06-01	ДА	КарФ	26 армия	172 минп
003	1942-06-01	ДА	КарФ	26 армия	15 озадн
003	1942-06-01	ДА	КарФ	26 армия	374 отб
003	1942-06-01	ДА	КарФ	26 армия	375 отб
003	1942-06-01	ДА	КарФ	26 армия	17 гв. шап
003	1942-06-01	ДА	КарФ	26 армия	760 иап
004	1942-06-01	ДА	КарФ	32 армия
004	1942-06-01	ДА	КарФ	32 армия	37 сд
004	1942-06-01	ДА	КарФ	32 армия	71 сд
004	1942-06-01	ДА	КарФ	32 армия	289 сд
004	1942-06-01	ДА	КарФ	32 армия	313 сд
004	1942-06-01	ДА	КарФ	32 армия	367 сд
004	1942-06-01	ДА	КарФ	32 армия	2 сбр
004	1942-06-01	ДА	КарФ	32 армия	65 морские сбр
004	1942-06-01	ДА	КарФ	32 армия	66 морские сбр
004	1942-06-01	ДА	КарФ	32 армия	1237 аап
004	1942-06-01	ДА	КарФ	32 армия	63 гв. мп
004	1942-06-01	ДА	КарФ	32 армия	261 озадн
004	1942-06-01	ДА	КарФ	32 армия	298 озадн
004	1942-06-01	ДА	КарФ	32 армия	376 отб
004	1942-06-01	ДА	КарФ	32 армия	152 иап
004	1942-06-01	ДА	КарФ	32 армия	195 иап
004	1942-06-01	ДА	КарФ	32 армия	828 иап
004	1942-06-01	ДА	КарФ	32 армия	31 оиб
004	1942-06-01	ДА	КарФ	32 армия	261 оиб
005	1942-06-01	ДА	КарФ	1861 
005	1942-06-01	ДА	КарФ	3 сбр
005	1942-06-01	ДА	КарФ	444 лап
005	1942-06-01	ДА	КарФ	32 озадн
005	1942-06-01	ДА	КарФ	27 одн бронепоездов
005	1942-06-01	ДА	КарФ	608 бап
005	1942-06-01	ДА	КарФ	839 иап
005	1942-06-01	ДА	КарФ	1 сбр
005	1942-06-01	ДА	КарФ	1215 осб
005	1942-06-01	ДА	КарФ	1216 осб
006	1942-06-01	ДА	ЛФ Лгв
006	1942-06-01	ДА	ЛФ Лгв	23 армия
006	1942-06-01	ДА	ЛФ Лгв	23 армия	14 абр ПТО
006	1942-06-01	ДА	ЛФ Лгв	23 армия	94 ап ПТО
006	1942-06-01	ДА	ЛФ Лгв	23 армия	241 озадн
006	1942-06-01	ДА	ЛФ Лгв	23 армия	30 отд. бронепоезд
006	1942-06-01	ДА	ЛФ Лгв	23 армия	14 гв. иап
006	1942-06-01	ДА	ЛФ Лгв	23 армия	71 осб
006	1942-06-01	ДА	ЛФ Лгв	23 армия	325 осб
006	1942-06-01	ДА	ЛФ Лгв	23 армия	234 оиб
007	1942-06-01	ДА	ЛФ Лгв	42 армия
007	1942-06-01	ДА	ЛФ Лгв	42 армия	13 сд
007	1942-06-01	ДА	ЛФ Лгв	42 армия	85 сд
007	1942-06-01	ДА	ЛФ Лгв	42 армия	189 сд
007	1942-06-01	ДА	ЛФ Лгв	42 армия	14 абр ПТО
007	1942-06-01	ДА	ЛФ Лгв	42 армия	73 аап
007	1942-06-01	ДА	ЛФ Лгв	42 армия	3 ап ПТО
007	1942-06-01	ДА	ЛФ Лгв	42 армия	4 ап ПТО
007	1942-06-01	ДА	ЛФ Лгв	42 армия	5 ап ПТО
007	1942-06-01	ДА	ЛФ Лгв	42 армия	89 озадн
007	1942-06-01	ДА	ЛФ Лгв	42 армия	51 отб
007	1942-06-01	ДА	ЛФ Лгв	42 армия	29 оиб
007	1942-06-01	ДА	ЛФ Лгв	42 армия	54 оиб
007	1942-06-01	ДА	ЛФ Лгв	42 армия	585 оиб
008	1942-06-01	ДА	ЛФ Лгв	55 армия
008	1942-06-01	ДА	ЛФ Лгв	55 армия	43 сд
008	1942-06-01	ДА	ЛФ Лгв	55 армия	56 сд
008	1942-06-01	ДА	ЛФ Лгв	55 армия	72 сд
008	1942-06-01	ДА	ЛФ Лгв	55 армия	90 сд
008	1942-06-01	ДА	ЛФ Лгв	55 армия	125 сд
008	1942-06-01	ДА	ЛФ Лгв	55 армия	268 сд
008	1942-06-01	ДА	ЛФ Лгв	55 армия	267 опаб
008	1942-06-01	ДА	ЛФ Лгв	55 армия	289 опаб
008	1942-06-01	ДА	ЛФ Лгв	55 армия	290 опаб
008	1942-06-01	ДА	ЛФ Лгв	55 армия	12 гв. аап
008	1942-06-01	ДА	ЛФ Лгв	55 армия	2 ап ПТО
008	1942-06-01	ДА	ЛФ Лгв	55 армия	690 ап ПТО
008	1942-06-01	ДА	ЛФ Лгв	55 армия	70 озадн
008	1942-06-01	ДА	ЛФ Лгв	55 армия	71 озадн
008	1942-06-01	ДА	ЛФ Лгв	55 армия	84 отб
008	1942-06-01	ДА	ЛФ Лгв	55 армия	325 оиб
008	1942-06-01	ДА	ЛФ Лгв	55 армия	367 оиб
009	1942-06-01	ДА	ЛФ Лгв	Невская оперативная группа
009	1942-06-01	ДА	ЛФ Лгв	Невская оперативная группа	70 сд
009	1942-06-01	ДА	ЛФ Лгв	Невская оперативная группа	86 сд
009	1942-06-01	ДА	ЛФ Лгв	Невская оперативная группа	1 сд НКВД
