001	1941-10-01	Да
001	1941-10-01	Да	КарФ
001	1941-10-01	Да	КарФ	14 армия
001	1941-10-01	Да	КарФ	14 армия	42 ск
001	1941-10-01	Да	КарФ	14 армия	104 сд
001	1941-10-01	Да	КарФ	14 армия	122 сд
001	1941-10-01	Да	КарФ	14 армия	1 мсп 
001	1941-10-01	Да	КарФ	14 армия	1 тд
001	1941-10-01	Да	КарФ	14 армия	104 пап РВГК
001	1941-10-01	Да	КарФ	14 армия	208 озад
001	1941-10-01	Да	КарФ	14 армия	107 отб
001	1941-10-01	Да	КарФ	14 армия	1 сад
001	1941-10-01	Да	КарФ	14 армия	31 осб
001	1941-10-01	Да	КарФ	14 армия	116 осб
003	1941-10-01	Да	КарФ	Кемская опер. группа
003	1941-10-01	Да	КарФ	Кемская опер. группа	27 сд
003	1941-10-01	Да	КарФ	Кемская опер. группа	54 сд
003	1941-10-01	Да	КарФ	Кемская опер. группа	88 сд
004	1941-10-01	Да	КарФ	55 сад
004	1941-10-01	Да	КарФ	19 оиб
005	1941-10-01	Да	ЛФ
005	1941-10-01	Да	ЛФ	8 армия
005	1941-10-01	Да	ЛФ	8 армия	19 ск
005	1941-10-01	Да	ЛФ	8 армия	10 сд
005	1941-10-01	Да	ЛФ	8 армия	11 сд
005	1941-10-01	Да	ЛФ	8 армия	85 сд
005	1941-10-01	Да	ЛФ	8 армия	48 сд
005	1941-10-01	Да	ЛФ	8 армия	80 сд
005	1941-10-01	Да	ЛФ	8 армия	191 сд
005	1941-10-01	Да	ЛФ	8 армия	281 сд
005	1941-10-01	Да	ЛФ	8 армия	76 латышский осп
005	1941-10-01	Да	ЛФ	8 армия	519 гап РВГК
005	1941-10-01	Да	ЛФ	8 армия	2 д
005	1941-10-01	Да	ЛФ	8 армия	103 озад
005	1941-10-01	Да	ЛФ	8 армия	251 озад
005	1941-10-01	Да	ЛФ	8 армия	2 отп
005	1941-10-01	Да	ЛФ	8 армия	65 каэ
005	1941-10-01	Да	ЛФ	8 армия	112 осб
005	1941-10-01	Да	ЛФ	8 армия	295 осб
006	1941-10-01	Да	ЛФ	23 армия
006	1941-10-01	Да	ЛФ	23 армия	43 сд
006	1941-10-01	Да	ЛФ	23 армия	123 сд
006	1941-10-01	Да	ЛФ	23 армия	142 сд
006	1941-10-01	Да	ЛФ	23 армия	198 сд
006	1941-10-01	Да	ЛФ	23 армия	265 сд
006	1941-10-01	Да	ЛФ	23 армия	291 сд
006	1941-10-01	Да	ЛФ	23 армия	22 УР
006	1941-10-01	Да	ЛФ	23 армия	577 гап РВГК
006	1941-10-01	Да	ЛФ	23 армия	27 озад
006	1941-10-01	Да	ЛФ	23 армия	241 озад
006	1941-10-01	Да	ЛФ	23 армия	485 озад
006	1941-10-01	Да	ЛФ	23 армия	48 отб
006	1941-10-01	Да	ЛФ	23 армия	106 отб
006	1941-10-01	Да	ЛФ	23 армия	5 сад
006	1941-10-01	Да	ЛФ	23 армия	234 осб
007	1941-10-01	Да	ЛФ	42 армия
007	1941-10-01	Да	ЛФ	42 армия	13 сд
007	1941-10-01	Да	ЛФ	42 армия	44 сд
007	1941-10-01	Да	ЛФ	42 армия	56 сд
007	1941-10-01	Да	ЛФ	42 армия	189 сд
007	1941-10-01	Да	ЛФ	42 армия	6 бр. морской пехоты
007	1941-10-01	Да	ЛФ	42 армия	7 бр. морской пехоты
007	1941-10-01	Да	ЛФ	42 армия	282 опаб
007	1941-10-01	Да	ЛФ	42 армия	291 опаб
007	1941-10-01	Да	ЛФ	42 армия	14 арт. бригада ПТО
007	1941-10-01	Да	ЛФ	42 армия	47 кап
007	1941-10-01	Да	ЛФ	42 армия	51 кап
007	1941-10-01	Да	ЛФ	42 армия	73 кап
007	1941-10-01	Да	ЛФ	42 армия	704 ап
007	1941-10-01	Да	ЛФ	42 армия	1 оминб
007	1941-10-01	Да	ЛФ	42 армия	2 оминб
007	1941-10-01	Да	ЛФ	42 армия	3 оминб
007	1941-10-01	Да	ЛФ	42 армия	51 отб
007	1941-10-01	Да	ЛФ	42 армия	29 осб
007	1941-10-01	Да	ЛФ	42 армия	456 осб
008	1941-10-01	Да	ЛФ	54 армия
008	1941-10-01	Да	ЛФ	54 армия	5 гв. мп
008	1941-10-01	Да	ЛФ	54 армия	2 д
008	1941-10-01	Да	ЛФ	54 армия	4 гв. мп
008	1941-10-01	Да	ЛФ	54 армия	4 д
008	1941-10-01	Да	ЛФ	54 армия	21 тд
008	1941-10-01	Да	ЛФ	54 армия	122 тбр
008	1941-10-01	Да	ЛФ	54 армия	3 рез. авиагруппа
008	1941-10-01	Да	ЛФ	54 армия	5 миб
008	1941-10-01	Да	ЛФ	54 армия	135 миб
008	1941-10-01	Да	ЛФ	54 армия	136 миб
009	1941-10-01	Да	ЛФ	55 армия
009	1941-10-01	Да	ЛФ	55 армия	17 сд
009	1941-10-01	Да	ЛФ	55 армия	55 сп
009	1941-10-01	Да	ЛФ	55 армия	24 кап
009	1941-10-01	Да	ЛФ	55 армия	16 оминб
009	1941-10-01	Да	ЛФ	55 армия	47 оминб
009	1941-10-01	Да	ЛФ	55 армия	84 отб
009	1941-10-01	Да	ЛФ	55 армия	86 отб
009	1941-10-01	Да	ЛФ	55 армия	2 осб
009	1941-10-01	Да	ЛФ	55 армия	367 осб
010	1941-10-01	Да	ЛФ	Невская опер. группа
010	1941-10-01	Да	ЛФ	Невская опер. группа	71 сд
010	1941-10-01	Да	ЛФ	Невская опер. группа	230 ап
010	1941-10-01	Да	ЛФ	Невская опер. группа	577 гап
010	1941-10-01	Да	ЛФ	Невская опер. группа	1 д
010	1941-10-01	Да	ЛФ	Невская опер. группа	20 оминб
010	1941-10-01	Да	ЛФ	Невская опер. группа	107 отб
