001	1945-05-01	ДА
001	1945-05-01	ДА	ЛФ Курляндская группа войск
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1 ск
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	306 сд
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	344 сд
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	357 сд
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	8 эст. ск 
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	7 эст. сд
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	249 эст. сд
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	119 ск 
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	201 сд
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	360 сд
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	374 сд
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	123 ск 
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	21 гв.
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	6 гв. адп 
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	29 гв. пабр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	134 габр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	119 габр БМ
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	13 гв. орадн
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	20 адп 
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	34 лабр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	60 габр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	102 габр БМ
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	796 орадн
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	27 ад 
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	78 лабр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	74 габр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	5 кабр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	6 гв. иптабр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	13 минбр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	31 минбр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	12 гв. мбр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	14 гв. мбр
