001	1942-01-01	Да
001	1942-01-01	Да	КарФ
001	1942-01-01	Да	КарФ	14 армия
001	1942-01-01	Да	КарФ	14 армия	135 сп
001	1942-01-01	Да	КарФ	14 армия	14 сд
001	1942-01-01	Да	КарФ	14 армия	73 ап
001	1942-01-01	Да	КарФ	14 армия	487 озадн
001	1942-01-01	Да	КарФ	14 армия	107 отб
001	1942-01-01	Да	КарФ	14 армия	1 сад
001	1942-01-01	Да	КарФ	14 армия	31 осб
001	1942-01-01	Да	КарФ	14 армия	279 осб
002	1942-01-01	Да	КарФ	Кемская оперативная группа
002	1942-01-01	Да	КарФ	Кемская оперативная группа	14 
002	1942-01-01	Да	КарФ	Кемская оперативная группа	135 сп
002	1942-01-01	Да	КарФ	Кемская оперативная группа	54 сд
002	1942-01-01	Да	КарФ	Кемская оперативная группа	88 сд
003	1942-01-01	Да	КарФ	Медвежегорская оперативная группа
003	1942-01-01	Да	КарФ	Медвежегорская оперативная группа	71 сд
003	1942-01-01	Да	КарФ	Медвежегорская оперативная группа	313 сд
003	1942-01-01	Да	КарФ	Медвежегорская оперативная группа	17 оминб
003	1942-01-01	Да	КарФ	Медвежегорская оперативная группа	4 отб
003	1942-01-01	Да	КарФ	Медвежегорская оперативная группа	1 сбр
004	1942-01-01	Да	КарФ	Масельская оперативная группа
004	1942-01-01	Да	КарФ	Масельская оперативная группа	1861 сд
004	1942-01-01	Да	КарФ	Масельская оперативная группа	289 сд
004	1942-01-01	Да	КарФ	Масельская оперативная группа	367 сд
004	1942-01-01	Да	КарФ	Масельская оперативная группа	208 озадн
004	1942-01-01	Да	КарФ	Масельская оперативная группа	261 озадн
004	1942-01-01	Да	КарФ	Масельская оперативная группа	298 озадн
004	1942-01-01	Да	КарФ	Масельская оперативная группа	227 отр
005	1942-01-01	Да	КарФ	37 сд
005	1942-01-01	Да	КарФ	263 сд
005	1942-01-01	Да	КарФ	66 морские сбр
005	1942-01-01	Да	КарФ	15 оминб
005	1942-01-01	Да	КарФ	16 оминб
005	1942-01-01	Да	КарФ	32 озадн
005	1942-01-01	Да	КарФ	103 сад
005	1942-01-01	Да	КарФ	19 оиб
006	1942-01-01	Да	ЛФ
006	1942-01-01	Да	ЛФ	8 армия
006	1942-01-01	Да	ЛФ	8 армия	10 сд
006	1942-01-01	Да	ЛФ	8 армия	86 сд
006	1942-01-01	Да	ЛФ	8 армия	11 сбр
006	1942-01-01	Да	ЛФ	8 армия	101 гап
006	1942-01-01	Да	ЛФ	8 армия	7 ап ПТО
006	1942-01-01	Да	ЛФ	8 армия	486 озадн
006	1942-01-01	Да	ЛФ	8 армия	28 отд. бронепоезд
006	1942-01-01	Да	ЛФ	8 армия	439 иап
006	1942-01-01	Да	ЛФ	8 армия	2 осб
006	1942-01-01	Да	ЛФ	8 армия	112 осб
007	1942-01-01	Да	ЛФ	23 армия
007	1942-01-01	Да	ЛФ	23 армия	123 сд
007	1942-01-01	Да	ЛФ	23 армия	142 сд
007	1942-01-01	Да	ЛФ	23 армия	291 сд
