001	1943-12-01	ДА
001	1943-12-01	ДА	КарФ
001	1943-12-01	ДА	КарФ	14 армия
001	1943-12-01	ДА	КарФ	14 армия	10 гв.
001	1943-12-01	ДА	КарФ	14 армия	72 морская сбр
001	1943-12-01	ДА	КарФ	14 армия	1236 пап
001	1943-12-01	ДА	КарФ	14 армия	297 минп
001	1943-12-01	ДА	КарФ	14 армия	156 зенап
001	1943-12-01	ДА	КарФ	14 армия	487 озадн
001	1943-12-01	ДА	КарФ	14 армия	31 оиб
002	1943-12-01	ДА	КарФ	19 армия
002	1943-12-01	ДА	КарФ	19 армия	104 сд
002	1943-12-01	ДА	КарФ	19 армия	122 сд
002	1943-12-01	ДА	КарФ	19 армия	1293 пап
002	1943-12-01	ДА	КарФ	19 армия	53 гв. мп
002	1943-12-01	ДА	КарФ	19 армия	261 озадн
002	1943-12-01	ДА	КарФ	19 армия	377 отб
002	1943-12-01	ДА	КарФ	19 армия	429 отб
002	1943-12-01	ДА	КарФ	19 армия	279 оиб
003	1943-12-01	ДА	КарФ	26 армия
003	1943-12-01	ДА	КарФ	26 армия	31 ск
003	1943-12-01	ДА	КарФ	26 армия	45 сд
003	1943-12-01	ДА	КарФ	26 армия	205 сд
003	1943-12-01	ДА	КарФ	26 армия	85 морские сбр
003	1943-12-01	ДА	КарФ	26 армия	27 сд
003	1943-12-01	ДА	КарФ	26 армия	54 сд
003	1943-12-01	ДА	КарФ	26 армия	471 пап
003	1943-12-01	ДА	КарФ	26 армия	172 минп
003	1943-12-01	ДА	КарФ	26 армия	278 минп
003	1943-12-01	ДА	КарФ	26 армия	565 минп
003	1943-12-01	ДА	КарФ	26 армия	63 гв. мп 
003	1943-12-01	ДА	КарФ	26 армия	297 д
003	1943-12-01	ДА	КарФ	26 армия	48 озадн
003	1943-12-01	ДА	КарФ	26 армия	369 озадн
003	1943-12-01	ДА	КарФ	26 армия	374 отб
003	1943-12-01	ДА	КарФ	26 армия	375 отб
003	1943-12-01	ДА	КарФ	26 армия	73 обрп
003	1943-12-01	ДА	КарФ	26 армия	170 оиб
004	1943-12-01	ДА	КарФ	32 армия
004	1943-12-01	ДА	КарФ	32 армия	289 сд
004	1943-12-01	ДА	КарФ	32 армия	313 сд
004	1943-12-01	ДА	КарФ	32 армия	367 сд
004	1943-12-01	ДА	КарФ	32 армия	80 морские сбр
004	1943-12-01	ДА	КарФ	32 армия	1237 пап
004	1943-12-01	ДА	КарФ	32 армия	280 минп
004	1943-12-01	ДА	КарФ	32 армия	298 минп
004	1943-12-01	ДА	КарФ	32 армия	275 зенап
004	1943-12-01	ДА	КарФ	32 армия	446 озадн
004	1943-12-01	ДА	КарФ	32 армия	376 отб
004	1943-12-01	ДА	КарФ	32 армия	3 оаэсб
004	1943-12-01	ДА	КарФ	32 армия	21 оаэсб
004	1943-12-01	ДА	КарФ	32 армия	22 оаэсб
004	1943-12-01	ДА	КарФ	32 армия	26 оаэсб
004	1943-12-01	ДА	КарФ	32 армия	261 оиб
005	1943-12-01	ДА	КарФ	7 воздушная армия
005	1943-12-01	ДА	КарФ	7 воздушная армия	1598 зенап
005	1943-12-01	ДА	КарФ	7 воздушная армия	1599 зенап
005	1943-12-01	ДА	КарФ	7 воздушная армия	1 гв.
005	1943-12-01	ДА	КарФ	7 воздушная армия	261 сад
005	1943-12-01	ДА	КарФ	7 воздушная армия	679 трап
005	1943-12-01	ДА	КарФ	7 воздушная армия	118 раэ
006	1943-12-01	ДА	КарФ	376 отб
006	1943-12-01	ДА	КарФ	27 одн брп
006	1943-12-01	ДА	КарФ	47 одн брп
006	1943-12-01	ДА	КарФ	1 ибр с/н
006	1943-12-01	ДА	КарФ	733 оиб
007	1943-12-01	ДА	ЛФ
007	1943-12-01	ДА	ЛФ	2 ударная армия
007	1943-12-01	ДА	ЛФ	2 ударная армия	43 ск
007	1943-12-01	ДА	ЛФ	2 ударная армия	90 сд
007	1943-12-01	ДА	ЛФ	2 ударная армия	93 сд
007	1943-12-01	ДА	ЛФ	2 ударная армия	131 сд
007	1943-12-01	ДА	ЛФ	2 ударная армия	48 сд
007	1943-12-01	ДА	ЛФ	2 ударная армия	168 сд
007	1943-12-01	ДА	ЛФ	2 ударная армия	48 морские сбр
007	1943-12-01	ДА	ЛФ	2 ударная армия	71 морские сбр
007	1943-12-01	ДА	ЛФ	2 ударная армия	91 опаб
007	1943-12-01	ДА	ЛФ	2 ударная армия	130 опаб
007	1943-12-01	ДА	ЛФ	2 ударная армия	338 опаб
007	1943-12-01	ДА	ЛФ	2 ударная армия	345 опаб
007	1943-12-01	ДА	ЛФ	2 ударная армия	754 гап
007	1943-12-01	ДА	ЛФ	2 ударная армия	533 опадн БМ
007	1943-12-01	ДА	ЛФ	2 ударная армия	535 опадн БМ
007	1943-12-01	ДА	ЛФ	2 ударная армия	144 минп
007	1943-12-01	ДА	ЛФ	2 ударная армия	184 минп
007	1943-12-01	ДА	ЛФ	2 ударная армия	281 минп
007	1943-12-01	ДА	ЛФ	2 ударная армия	803 зенап
007	1943-12-01	ДА	ЛФ	2 ударная армия	116 озадн
007	1943-12-01	ДА	ЛФ	2 ударная армия	98 отп
007	1943-12-01	ДА	ЛФ	2 ударная армия	204 отп
007	1943-12-01	ДА	ЛФ	2 ударная армия	42 оаэсб
007	1943-12-01	ДА	ЛФ	2 ударная армия	295 оиб
007	1943-12-01	ДА	ЛФ	2 ударная армия	734 оиб
008	1943-12-01	ДА	ЛФ	23 армия
008	1943-12-01	ДА	ЛФ	23 армия	10 сд
008	1943-12-01	ДА	ЛФ	23 армия	92 сд
008	1943-12-01	ДА	ЛФ	23 армия	142 сд
008	1943-12-01	ДА	ЛФ	23 армия	22 УР
008	1943-12-01	ДА	ЛФ	23 армия	8 кап
008	1943-12-01	ДА	ЛФ	23 армия	154 кап
008	1943-12-01	ДА	ЛФ	23 армия	94 иптап
008	1943-12-01	ДА	ЛФ	23 армия	883 иптап
008	1943-12-01	ДА	ЛФ	23 армия	618 озадн
008	1943-12-01	ДА	ЛФ	23 армия	5 оаэсб
009	1943-12-01	ДА	ЛФ	42 армия
009	1943-12-01	ДА	ЛФ	42 армия	30 гв. ск
009	1943-12-01	ДА	ЛФ	42 армия	45 гв. сд
009	1943-12-01	ДА	ЛФ	42 армия	63 гв. сд
009	1943-12-01	ДА	ЛФ	42 армия	64 гв. сд
009	1943-12-01	ДА	ЛФ	42 армия	109 ск 
009	1943-12-01	ДА	ЛФ	42 армия	72 сд
009	1943-12-01	ДА	ЛФ	42 армия	109 сд
009	1943-12-01	ДА	ЛФ	42 армия	125 сд
009	1943-12-01	ДА	ЛФ	42 армия	110 ск 
009	1943-12-01	ДА	ЛФ	42 армия	56 сд
009	1943-12-01	ДА	ЛФ	42 армия	85 сд
009	1943-12-01	ДА	ЛФ	42 армия	86 сд
009	1943-12-01	ДА	ЛФ	42 армия	189 сд
009	1943-12-01	ДА	ЛФ	42 армия	18 адп 
009	1943-12-01	ДА	ЛФ	42 армия	65 лабр
009	1943-12-01	ДА	ЛФ	42 армия	80 тгабр
009	1943-12-01	ДА	ЛФ	42 армия	120 габр БМ
009	1943-12-01	ДА	ЛФ	42 армия	23 адп 
009	1943-12-01	ДА	ЛФ	42 армия	79 лабр
009	1943-12-01	ДА	ЛФ	42 армия	96 тгабр
009	1943-12-01	ДА	ЛФ	42 армия	21 гв. габр БМ
009	1943-12-01	ДА	ЛФ	42 армия	1157 кап
009	1943-12-01	ДА	ЛФ	42 армия	1486 пап
009	1943-12-01	ДА	ЛФ	42 армия	384 иптап
009	1943-12-01	ДА	ЛФ	42 армия	509 иптап
009	1943-12-01	ДА	ЛФ	42 армия	705 иптап
009	1943-12-01	ДА	ЛФ	42 армия	1973 иптап
009	1943-12-01	ДА	ЛФ	42 армия	104 минп
009	1943-12-01	ДА	ЛФ	42 армия	174 минп
009	1943-12-01	ДА	ЛФ	42 армия	533 минп
009	1943-12-01	ДА	ЛФ	42 армия	534 минп
009	1943-12-01	ДА	ЛФ	42 армия	320 гв. мп
009	1943-12-01	ДА	ЛФ	42 армия	1377 зенап
009	1943-12-01	ДА	ЛФ	42 армия	1387 зенап
009	1943-12-01	ДА	ЛФ	42 армия	1393 зенап
009	1943-12-01	ДА	ЛФ	42 армия	1413 зенап
009	1943-12-01	ДА	ЛФ	42 армия	72 озадн
009	1943-12-01	ДА	ЛФ	42 армия	1 тбр
009	1943-12-01	ДА	ЛФ	42 армия	220 тбр
009	1943-12-01	ДА	ЛФ	42 армия	46 гв.
009	1943-12-01	ДА	ЛФ	42 армия	49 гв.
009	1943-12-01	ДА	ЛФ	42 армия	222 отп
009	1943-12-01	ДА	ЛФ	42 армия	260 отп
009	1943-12-01	ДА	ЛФ	42 армия	71 одн брп
009	1943-12-01	ДА	ЛФ	42 армия	72 одн брп
009	1943-12-01	ДА	ЛФ	42 армия	54 оиб
009	1943-12-01	ДА	ЛФ	42 армия	585 оиб
010	1943-12-01	ДА	ЛФ	55 армия
010	1943-12-01	ДА	ЛФ	55 армия	13 сд
010	1943-12-01	ДА	ЛФ	55 армия	46 сд
010	1943-12-01	ДА	ЛФ	55 армия	224 сд
010	1943-12-01	ДА	ЛФ	55 армия	291 сд
010	1943-12-01	ДА	ЛФ	55 армия	376 сд
010	1943-12-01	ДА	ЛФ	55 армия	81 пабр
010	1943-12-01	ДА	ЛФ	55 армия	289 иптап
010	1943-12-01	ДА	ЛФ	55 армия	690 иптап
010	1943-12-01	ДА	ЛФ	55 армия	134 минп
010	1943-12-01	ДА	ЛФ	55 армия	175 минп
010	1943-12-01	ДА	ЛФ	55 армия	567 минп
010	1943-12-01	ДА	ЛФ	55 армия	322 гв. мп
010	1943-12-01	ДА	ЛФ	55 армия	71 озадн
010	1943-12-01	ДА	ЛФ	55 армия	613 озадн
010	1943-12-01	ДА	ЛФ	55 армия	234 оиб
010	1943-12-01	ДА	ЛФ	55 армия	325 оиб
010	1943-12-01	ДА	ЛФ	55 армия	367 оиб
011	1943-12-01	ДА	ЛФ	67 армия
011	1943-12-01	ДА	ЛФ	67 армия	43 зенад
011	1943-12-01	ДА	ЛФ	67 армия	464 зенап
